Tanggal,Baju,Tipe,Nominal Satuan,Penambahan Stok,Total Stok Baju,Baju Keluar,Pengeluaran,Pemasukan
5/1/2024,30S,Pembelian,30000,200,210,0,6000000,0
5/1/2024,24S,Pembelian,33000,200,215,0,6600000,0
5/1/2024,Carded,Pembelian,28000,310,310,0,8400000,0
15/1/2024,30S,Cetak,37000,0,180,30,0,1110000
15/1/2024,24S,Cetak,40000,0,165,50,0,2000000
15/1/2024,Carded,Cetak,35000,0,210,100,0,3500000
25/1/2024,30S,Cetak,37000,0,160,20,0,740000
25/1/2024,24S,Cetak,40000,0,115,50,0,2000000
25/1/2024,Carded,Cetak,35000,0,160,50,0,1750000
7/2/2024,30S,Pembelian,30000,100,260,0,3000000,0
7/2/2024,24S,Pembelian,33000,100,215,0,3300000,0
7/2/2024,Carded,Pembelian,28000,100,260,0,2800000,0
15/2/2024,30S,Cetak,37000,0,210,50,0,1850000
15/2/2024,24S,Cetak,40000,0,135,80,0,3200000
15/2/2024,Carded,Cetak,35000,0,150,110,0,3850000
3/3/2024,24S,Cetak,40000,0,110,25,0,1000000
3/3/2024,Carded,Cetak,35000,0,75,75,0,2625000
25/4/2024,30S,Pembelian,30000,0,210,0,0,0
25/4/2024,24S,Pembelian,33000,50,160,0,1650000,0
25/4/2024,Carded,Pembelian,28000,100,175,0,2800000,0
25/4/2024,30S,Cetak,37000,0,160,50,0,0
25/4/2024,24S,Cetak,40000,0,110,50,1650000,0
25/4/2024,Carded,Cetak,35000,0,75,100,2800000,0
4/5/2024,30S,Pembelian,30000,100,260,0,3000000,0
4/5/2024,24S,Pembelian,33000,100,210,0,3300000,0
4/5/2024,Carded,Pembelian,28000,250,325,0,7000000,0
5/5/2024,30S,Pembelian,30000,0,160,100,0,3700000
5/5/2024,24S,Pembelian,33000,0,60,150,0,6000000
5/5/2024,Carded,Pembelian,28000,0,175,150,0,5250000
10/6/2024,30S,Pembelian,30000,50,210,0,1500000,0
10/6/2024,24S,Pembelian,33000,150,210,0,4950000,0
10/6/2024,Carded,Pembelian,28000,100,275,0,2800000,0
10/6/2024,30S,Cetak,37000,0,160,50,,1850000
10/6/2024,24S,Cetak,40000,0,130,80,,3200000
10/6/2024,Carded,Cetak,35000,0,195,80,,2800000
10/6/2024,30S,Cetak,37000,0,110,50,,1850000
10/6/2024,24S,Cetak,40000,0,70,60,,2400000
10/6/2024,Carded,Cetak,35000,0,115,80,,2800000
5/7/2024,30S,Pembelian,30000,150,260,0,4500000,0
5/7/2024,24S,Pembelian,33000,500,570,0,16500000,0
5/7/2024,Carded,Pembelian,28000,50,165,0,1400000,0
7/7/2024,30S,Cetak,37000,0,60,200,0,7400000
7/7/2024,24S,Cetak,33000,0,170,400,0,16000000
7/7/2024,Carded,Cetak,28000,0,65,100,0,3500000
10/8/2024,30S,Pembelian,30000,50,110,50,1500000,0
10/8/2024,24S,Pembelian,33000,50,220,90,1650000,0
10/8/2024,Carded,Pembelian,28000,50,115,60,1400000,0
10/8/2024,30S,Cetak,37000,0,60,50,0,1850000
10/8/2024,24S,Cetak,33000,0,130,90,0,3600000
10/8/2024,Carded,Cetak,28000,0,55,60,0,2100000
1/9/2024,30S,Pembelian,30000,50,110,0,1500000,0
1/9/2024,24S,Pembelian,33000,0,130,0,0,0
1/9/2024,Carded,Pembelian,28000,30,85,0,840000,0
1/9/2024,30S,Cetak,37000,0,90,20,0,740000
1/9/2024,24S,Cetak,33000,0,80,50,0,2000000
1/9/2024,Carded,Cetak,28000,0,35,50,0,1750000
